1.996633	2.676271	n
3.692831	4.096366	p
4.138843	4.445287	e
11.863660	15.645022	e
17.016126	20.393372	p
18.978970	19.448032	e
20.393372	20.927381	e
21.793342	22.278515	e
22.557421	23.351230	p
22.557421	23.355521	e
23.513915	23.827148	e
33.958323	35.640340	p
39.042754	42.149669	p
42.125396	43.047762	e
52.801670	55.153062	e
55.472244	55.884167	e
56.347580	56.862483	p
57.154261	58.887769	e
61.187670	63.144303	p
64.397234	66.010597	p
69.700737	73.253570	p
76.826807	79.266220	p
79.363311	80.771132	e
