0.681353	2.183824	e
2.288647	3.284471	e
3.441706	4.175471	e
4.315235	5.101412	e
5.730353	10.569706	e
11.251059	11.722765	p
13.469824	17.470588	p
17.680235	19.671882	p
19.829118	20.527941	p
21.384000	24.738353	p
25.245000	29.962059	p
30.608471	31.447059	p
31.691647	32.687471	p
32.757353	36.583412	p
37.352118	38.487706	p
44.392765	48.690529	p
48.830294	51.817765	p
52.149706	53.512412	p
54.630529	56.761941	p
57.216176	60.640412	p
61.810941	65.968941	p
66.685235	67.943118	p
68.135294	68.676882	  p
68.938941	69.934765	p
72.695118	73.690941	p
74.162647	75.525353	p
76.189235	78.093529	p
81.814765	82.234059	p
