0.097641	8.690039	e
8.755133	9.503713	p
10.773044	12.091196	p
12.253931	15.069243	p
15.427260	17.949649	p
18.551768	21.399627	p
22.343489	23.629094	p
24.133572	28.136848	p
28.380951	36.696699	p
36.981485	38.763431	p
38.966850	39.520148	p
39.902575	41.570607	p
41.961170	44.239458	p
44.467286	47.298872	p
47.941674	49.674800	p
50.073500	51.513704	p
52.913223	56.981593	p
58.600804	61.790407	p
62.425072	63.889686	p
65.370572	66.713135	p
67.388484	69.552857	p
70.504856	71.269709	p
73.661911	75.915788	p
75.126524	75.598455	e
76.347035	76.794556	e
76.794556	77.648914	p
