0.000000	1.153959	e
1.389996	2.989804	p
2.989804	5.140364	n
5.271496	6.163192	e
6.163192	7.028661	p
7.159793	9.415259	n
9.625070	10.411860	p
10.411860	11.749404	n
11.749404	13.375437	p
13.899964	15.027697	p
15.027697	16.732410	n
16.601278	17.912596	p
18.935423	20.509004	p
21.689190	24.888804	p
25.544463	28.848983	p
29.373510	30.658601	p
31.130675	32.179729	p
32.048597	33.412367	n
33.412367	36.139907	p
37.529904	39.470653	p
40.073859	42.853852	n
43.089889	44.532339	p
46.105919	47.364784	p
48.702328	50.039872	p
51.534773	52.977223	p
54.629483	57.094759	p
57.566833	58.825698	p
61.736823	63.992289	e
