0.224187	2.936855	p
3.654255	8.003490	p
9.012334	11.343883	p
12.890776	16.051818	p
17.531455	18.742067	p
20.176867	21.297804	p
23.024047	23.629353	p
23.965634	26.005739	e
26.005739	29.839344	p
30.624000	31.543168	p
32.013962	33.381505	p
34.076486	35.107748	p
35.511286	36.587385	p
37.058179	38.627490	p
41.003877	41.810952	p
42.124814	43.335426	p
44.815063	45.913581	p
48.312387	49.029786	p
50.464586	51.697616	p
54.881078	55.934758	p
56.966020	59.723526	p
60.373669	61.248000	p
