0.229038	1.145189	p
1.844357	2.796672	p
4.809794	5.665672	p
6.256349	7.582357	p
8.486454	9.776298	p
10.174101	11.319290	p
12.476534	13.633777	p
14.284727	16.406340	p
18.274807	19.504378	p
23.205147	24.362391	p
24.446773	25.374979	p
26.471950	27.990832	p
29.738752	30.920105	p
31.522836	32.740353	p
33.198429	34.367727	p
35.163332	36.151811	p
37.513983	38.574790	p
39.382450	40.636131	p
43.999370	44.807030	p
45.132505	46.277694	p
47.965341	49.158748	p
50.026681	51.135706	p
51.798710	52.859517	p
53.727450	54.559219	p
55.270442	56.234811	p
56.584395	57.367946	p
58.091223	58.983265	p
59.489559	59.837812	p
