1.539384	5.462751	p
5.767676	7.820837	p
8.024120	11.886502	p
14.956080	15.464288	p
16.033481	17.741060	p
20.409640	21.283758	p
23.987426	24.841215	p
25.186797	26.020258	p
26.182885	26.609780	p
27.280615	29.354104	p
31.732518	33.196158	p
32.464338	33.765351	e
34.395529	34.842752	e
35.066364	36.225078	p
38.379881	39.253999	p
39.335312	42.608173	e
42.099965	42.953754	p
43.441634	44.803632	p
50.861474	51.125742	p
51.674607	52.243800	p
52.447083	52.853650	e
58.179671	58.504924	p
59.704296	60.000000	p
