0.334712	1.932961	p
3.112821	4.125324	p
4.744541	5.514378	p
6.376262	7.279984	p
8.669038	9.455611	p
12.133306	12.794362	p
14.744059	15.723091	p
17.530535	18.450993	p
19.798208	20.727034	p
23.337787	24.007211	p
27.245548	27.948443	p
30.893908	31.471286	p
33.454454	34.165717	p
38.742902	39.521107	p
40.006439	41.295080	p
41.445700	42.048182	e
42.048182	42.600456	p
43.671534	44.366061	p
44.516682	45.453875	p
46.190241	46.976814	e
49.202648	49.754923	p
50.533128	51.403379	p
52.549767	53.336340	p
55.403186	56.064242	p
58.875822	59.829751	p
61.333863	62.312895	e
