0.523258	3.401177	e
5.396099	6.573429	e
7.619946	8.151380	p
8.151380	8.850420	e
10.579624	11.462622	p
11.462622	12.754415	e
14.095264	15.010966	p
20.685045	21.469932	p
23.358567	25.647821	e
25.647821	26.588050	p
26.588050	27.364762	p
29.343331	30.774115	p
31.493595	32.164019	p
33.300470	34.101709	p
40.029242	40.740546	p
41.002175	41.541785	p
42.138626	42.539245	p
43.029800	43.814687	p
46.234756	46.970587	p
49.889386	50.625218	p
51.540919	52.293103	p
52.293103	53.486785	e
53.486785	54.476070	p
61.114907	62.316765	e
