0.368451	3.131831	p
3.500282	7.798873	p
8.412958	16.641690	p
17.225070	26.804789	p
27.352494	30.766523	p
31.259458	33.724132	p
34.509176	37.612839	p
38.083772	40.913582	p
41.479544	48.106778	p
49.019620	51.995485	p
52.670988	60.539687	p
61.233447	68.408386	p
68.828293	74.469657	p
75.145160	76.550937	p
77.098642	82.666979	p
83.123400	85.880183	p
86.300090	88.563939	p
89.148158	93.201176	p
93.383745	97.071627	p
97.692360	100.722995	p
100.996848	103.571063	p
104.063997	105.761884	p
106.510414	111.147652	p
111.494532	115.474523	p
116.204797	118.085252	p
118.730728	122.164665	p
122.718054	130.179766	p
130.773605	134.698104	p
136.156882	142.250183	p
142.908569	148.433851	p
149.260061	152.848912	p
153.636394	155.120991	p
156.011749	159.419866	p
160.220258	161.240111	p
161.498302	164.183485	p
164.467495	166.339378	p
167.036493	171.709745	p
172.419770	174.614391	p
174.846763	176.137716	p
176.615369	179.029452	p
179.946029	184.748377	p
185.071115	186.129697	p
186.413707	189.331263	p
190.454392	192.248818	p
193.759234	198.729405	p
199.671801	204.125591	p
204.822706	209.767059	p
210.980555	214.169211	p
214.530678	215.524712	p
216.144370	218.713368	p
219.475030	220.481974	p
220.959627	223.967549	p
225.477965	228.692439	p
229.157183	229.751021	p
230.473955	233.623882	p
234.178992	237.612929	p
240.143198	240.788675	p
241.550338	244.160000	p
