0.342184	7.870222	p
7.870222	12.044862	p
12.352827	14.782331	p
14.987641	17.365817	p
17.588236	20.565233	p
21.300928	23.679104	p
23.679104	31.412453	p
31.412453	34.440777	p
35.159363	43.457315	p
44.004808	47.238443	p
47.238443	54.133442	p
54.595390	58.256755	p
58.598938	63.577709	p
64.039657	75.468589	p
75.827881	97.847395	p
99.010819	110.285768	p
110.696388	119.250978	p
119.866908	127.839786	p
127.976659	133.913544	p
134.016199	140.722998	p
141.167836	145.120057	p
145.359585	151.262252	p
152.203257	154.376122	n
154.957835	158.123033	p
