0.000000	0.978739	e
0.978739	3.206213	p
4.927442	6.209927	p
6.783671	8.302403	p
8.673649	9.449890	p
9.449890	10.934872	e
10.934872	12.021643	p
12.021643	13.184446	p
17.539675	18.765904	p
20.076701	22.021755	p
23.142275	23.987950	p
24.622207	27.412936	p
28.131760	32.854491	p
33.444274	34.032999	p
35.159256	35.594400	e
36.208722	37.181398	e
37.565349	38.205268	p
38.921976	40.611361	p
40.611361	42.362606	e
42.413799	46.662858	p
46.662858	47.609938	e
49.017758	50.476773	e
50.886320	52.396528	p
52.396528	54.367477	e
54.751428	55.826491	p
55.826491	57.074625	e
