FILENAME,ID,TRANSCRIPT,large-v2
P001_RRE_MOTOR_LIBRE,P001_RRE,"Era un sábado por la tarde. El rato el rato favorito de Juancito  para ir a aa la plazoleta, a jugar… con sus amigos. Y estaba un payaso  haciendo… cantando y bailando. Estaba el pa el los papás de Juancito y se puso a jugar e se puso a jugar con  a jugar futbol con su pelota y el papá lee jugaba con él. Le dieron un chocolate a Juancito que el cual se lo comió de un bocado, él, y se durmió. "," ¿Listo? Puedes empezar a contar la historia. Era un sábado por la tarde, el rato favorito de Juancito, para ir a la plazoleta a jugar con sus amigos. Estaba un payaso cantando y bailando. Estaban los papás de Juancito y se puso a jugar fútbol con su pelota. El papá jugaba con él. ¿Algún otro detalle? Le dieron un chocolate a Juanito que el cual se lo comió de un bocado y se durmió. ¿Listo?"
P002_HJTC_MOTOR_LIBRE,P002_HJTC,"Este es este un unun cuento de Juancito, Juanc Juancito. Jugjuagaba, con una pelota, y y	 con con el papá, el padr el padre la madre en un parque. Se encontró con un payaso. Pero elpayaso. Lo acog lo acogió muy bien y Juan y Juancito Juancito  juagaba a la pelota. Lo lolo, lo recogieron, y lo y lo  le sacudieron el sudor. Ya no me acuerdo de más. ", Este es un cuento de Juancito. Juancito jugaba con una pelota con el padre y la madre en un parque. Se encontró con un payaso. El payaso lo acogió muy bien y jugó con Juancito. Jugaba la pelota. El papá y la mamá lo recogieron y sacudieron el sudor. Ya no me acuerdo más.
P003_MBCB_MOTOR_LIBRE,P003_MBCB,"Que el sábado por la tarde, salió Juancito con sus padres para una plazoleta, y allá en esa plazoleta había un payaso; y de pronto escribió el nombre en el suelo y también se llamaba Juan. Entonces Juancito se arrimó donde estaban los padres y jaló al papá de la camiseta, y y era hora de jugar fútbol; entonces el papá se hizo como un arquero y metió gol. Y y después la mamá le dio un chocolate y se limpióen la ropa de la de la mamá, botó la envoltura en en el basurero y se quedó dormido sobre las piernas de la mamá. "," Par sujeto 003 lectura texto motor Ahora cuente la historia en sus propias palabras, incluya tantos detalles como pueda. Que el sábado por la tarde salió Juancito con sus padres para una plazoleta y allá en esa plazoleta había un payaso y de pronto escribió el nombre en el suelo y también se llamaba Juan. Entonces Juancito se arrimó donde estaban los padres y jaló al papa de la camiseta y era hora de jugar fútbol. Entonces el papa se hizo como un arquero y metió gol y después la mamá le dio un chocolate y se limpió la ropa de la mamá, botó la envoltura en el basurero y se quedó dormido sobre las piernas de la mamá."
P004_GGN_MOTOR_LIBRE,P004_GGN,"Como era de costumbre todos los sábados Juanito acostumbraba ir al parque; llamó a sus padres para ir y se encontró que había un payaso dando un espectáculo, de repente el payaso colocó el nombre en la arena y tenía en mismo nombre de él, se llamaba Juan. Él después de que se acabó el espectáculo él corrió para donde sus padres, y ya jaló al papá de la camisa y le dijo que fueran el fútbol; el papá dio dos pasos adelante y se hizo de arquero, el niño le metió un gol. Cuando ya terminó la mamá fue y llevó una chocolatina, el niño se la comió de un solo golpe y después fue y se limpió en la falda de la mamá y así terminó. "," ¿Listo? Puede comenzar ya. Como era de costumbre, todos los sábados Juanito acostumbraba a ir al parque. Llamó a sus padres para ir y se encontró que había un payaso dando un espectáculo. De repente el payaso colocó el nombre en la arena y tenía el mismo nombre de él, se llamaba Juan. Después de que se acabó el espectáculo, él corrió para donde sus padres y jaló al papá de la camisa y le dijo que fueran a jugar el fútbol. El papá dio dos pasos adelante y se hizo de arquero. El niño le metió un gol. Cuando ya terminó, la mamá fue y le llevó una chocolatina. El niño se la comió de un solo golpe y después fue y se limpió en la falda de la mamá y así terminó."
P005_GLVH_MOTOR_LIBRE,P005_GLVH,"Que el día favorito de Juancito eran los sábados por la tarde, salió, tomó a sus padres de la mano, salieron a la plazoleta donde habían las hamacas; niños salían corriendo a a mirar un payaso que estabay luego el payaso se quitó la camisa y se la ti se la tiró al pavimento y escribió su nombre, también se llamaba Juan. Luego Juancito se fue a buscar al papá para juju para invitarlo a jugar fútbol, papá se balanceaba de un lado al otro como arquero, Juancito hizo el gol. Luego la mamá le le dio un dulce y Juancito se durmió en las faldas de la mamá. Sí. "," Listo, don Guillermo, puede empezar. Se trata que el día favorito de Juanri era los labios por la tarde. Salió, tomó los padres de la mano, salieron a la plazoleta donde había unas hamacas. Otros niños salían corriendo a mirar a un payaso que estaba actuando. Y luego el payaso se quitó la camisa y se tiró al pavimento. Y escribió su nombre, también se llamaba Juan. Luego Juancito se fue a buscar al papá para invitarlo a jugar fútbol. El papá se balanceaba de un lado a otro como arquero. Juancito hizo el gol. Luego la mamá le dio un dulce y Juancito se durmió en la espalda de la mamá. Listo, excelente."
P006_FAGP_MOTOR_LIBRE,P006_FAGP,"Llegó el sábado por la tarde, es un día muy especial para Juancito, se fue con sus padres a una cancha, en la cancha había un payaso que el payaso se llamaba como el niño: Juan. Después del payaso con el payaso, el niño llevó al papá a la cancha de fútbol, jugaron un un rato y luego gol. La mamá se acercó y le ofreció un dulce. Y ya después de tanto de tanto jugar y de tanto distraerse se fueron para la casa. "," Par sujeto cero cero seis sexto motor. Cuénteme el cuento en sus propias palabras. Llegó el sábado por la tarde, se ve que es un día muy especial para la familia. Se fue con sus padres a una cancha. En la cancha había un payaso, que era el payaso que se llamaba La Tortuga. Yo siento que el payaso se llamaba como el niño Juan. Y el niño Juan. Después del payaso, y esta vez que fue el payaso, el niño llevó al papá a la cancha de puente. Jugaron un rato y no golpe. Pero jugaron un tanto y nunca se salió a la vida. Y el partido. La mamá se acercó y le ofreció un dulce. Y ya después de cuanto jugaba y de cuanto jugaba, se llevaron para casa. Y se conquistaron. Listo. Bien."
P007_RAGP_MOTOR_LIBRE,P007_RAGP,"Era un sábado por la tarde, era el día más esperado por Juanchito, en el que se sentía más contento. Se fue a la plazoleta y al lado de las hamacas había unos niños mirando a un payaso que brincaba y saltaba; luego Juanchito, ese payaso se llamaba Juan, lo mismo que el niño. Luego Juanchito fue a donde estaban sentados su papá y su mamá, abrazó a su papá, lo jaló de la camisa y le dijo que era el momento de jugar al fútbol; el papá, el padre se movía de izquierda a derecha en su posición de arquero, Juanchito pateó y ¡gol!. Luego su mamá le regaló un chocolate que este se comió y finalmente mientras le lim su mamá su madre le limpiaba los restos de chocolate, el niño que había tenido una jornada muy intensa, se durmió. "," Era un sábado por la tarde, era el día más esperado por Juanchito, en el que se sentía más contento. Se fue a la plazoleta y al lado de las hamacas había unos niños mirando a un payaso que brincaba y saltaba. Luego Juanchito, ese payaso se llamaba Juan, lo mismo que el niño. Luego Juanchito fue a donde estaban sentados su papá y su mamá, abrazó a su papá, lo jaló de la camisa y le dijo que era el momento de jugar al fútbol. El padre se movía de izquierda a derecha en su posición de arquero, Juanchito pateó y gol. Luego su mamá le regaló un chocolate que éste se comió y finalmente mientras su madre le limpiaba los restos de chocolate, el niño que había tenido una jornada muy intensa se durmió."
P010_EEPC_MOTOR_LIBRE,P010_EEPC,"¡Ay!bueno, era Juan Juancito, un payaso ¡ay no!Tenía, su padre lo llevaba a a divertirse y él jugaba fútbol y se encontró otro payasito que se llamaba Juan. Juagaron un partido, él anotó, un gol; y luego se fue con su padre… "," ¿Cómo se llama? Ay. Muy bien. Puedo empezar. Bueno, era Juan. Juancito. Un payaso. Ay, no, no. Tranquila. Cuéntame la historia con sus propias palabras. Tenía... Sus padres lo llevaban a... a divertirse. Y él jugaba a fútbol. Y se encontró otro payasito que se llamaba Juan. ¿Qué más? ¿Qué más pasa en la historia? ¿No? ¿Qué hicieron? A ver, cuénteme. Jugaron un partido. Él anotó un gol. Y... Luego se fue con sus padres. ¿Está bien?"
P011_CAAA_MOTOR_LIBRE,P011_CAAA,La distracción o evento de de jugar fútbol y distraerse un rato., la distracción o el evento de jugar con él y distraerse en un rato.
P012_CAMM_MOTOR_LIBRE,P012_CAMM,"Juancito era un niño que disfrutaba de los fines de semana, sobre todo cuando llegaba el sábado. Él salió con sus padres hacia el parque y al llegar allí vio un un grupo de niños que disfrutaba de de la diversión a través de un payaso, el payaso los divertía, los niños reían. Al terminar el show el payaso se dirigió al piso y escribió su nombre y colocó Juan, a Juancito le dio mucha alegría al saber que el payaso se llamaba como como igual que él. Después de allí, Juancito terminada la función se fue a un a a la silla donde sus padres lo estaban esperando, al llegar allí salió el sol. Juancito se quitó el suéter y se puso a jugar fútbol con su padre que hacía de arquero, su padre se movía de un lado a al otro. Juancito después de de haber jugado con su padre se fue donde su madre que le dio una golosina y se la comió de un bocado. Juancito después de que se comió la golosina, ya todo cansado se fue con su madre y se pegó a su falda y se limpió el el dulce; y Juancito que realmente no tenía como unas buenas prácticas sobre conservar como el ambiente, entonces siempre arrojaba los papeles al piso. "," ¿Puedes comenzar? Juancito era un niño que disfrutaba de los fines de semana, sobre todo cuando llegaba el sábado. Él salió con sus padres hacia el parque y al llegar allí vio un grupo de niños que disfrutaba de la diversión a través de un payaso. El payaso los divertía, los niños reían. Al terminar el show, el payaso se dirigió al piso y escribió su nombre y colocó Juan. A Juancito le dio mucha alegría de saber que el payaso se llamaba como igual que él. Después de allí, Juancito terminaba la función, se fue a la silla donde sus padres lo estaban esperando. Al llegar allí, salió el sol. Juancito se quitó el suéter y se puso a jugar fútbol con su padre, que hacía de arquero. Su padre se movía de un lado al otro. Juancito, después de haber jugado con su padre, se fue donde su madre, quien le dio una golosina, y se la comió de un bocado. Juancito, después de que se comió la golosina, ya todo cansado, se fue con su madre y se pegó a su falda y se limpió el dulce. Y Juancito era un niño que realmente no tenía como unas buenas prácticas sobre conservar como el ambiente. Entonces, siempre arrojaba los papeles al piso. ¿Listo?"
