FILENAME,ID,TRANSCRIPT,large-v2
P001_RRE_NEUTRO_LIBRE,P001_RRE,"La noche. Esta estaba No, no sé. Alberto. Salía de de su trabajo de de regreso a su casa se encontró; se fue para la discoteca, allí encontraba allá estaban sus amigos, encontró a su novia Elsa, escuchando su música favorita; ella lo acompañaba fielmente. Ella le aunque tenía sueño, Alberto la invito a que la acompañara y a y a bailar. Ella siempre aceptó acompañarlo, fielmente. De regreso a su casa, cansado se quedó dormido. No más. "," ¿Listo? Ya puede empezar. La noche... Estaba... Con sus palabras. No, no, no, no, no, no, no, no, no, no. Alberto... Salía de su trabajo y de regreso a su casa encontró... Se fue para la discoteca. Allí estaba con sus amigos. Encontró a su novia Elsa. Escuchando su música favorita... Ella lo acompañaba fielmente. Aunque tenía sueño... Alberto le invitó a que lo acompañara y a bailar. Ella siempre aceptó acompañarlo fielmente. De regreso a su casa, cansado... Se quedó dormido. ¿Listo?"
P002_HJTC_NEUTRO_LIBRE,P002_HJTC,Y se pusieron a bailar. Con un unas muchachas que habían ahí en el…, Después pusieron a bailar con las muchachas que habían ahí.
P003_MBCB_NEUTRO_LIBRE,P003_MBCB,"Alberto salió un fin de semana, a disfrutar con sus amigos. Y de pronto vio que el letrero de la discoteca decía “ni jefe ni reloj” así se llamaba la discoteca. Y lo, y estaban los muchachos alegres ahí, cuando de pronto vio a unas mujeres muy  contentas, disfrutando. Y y como reconoció a su novia Elsa, entonces, desde allá le preguntó que si iban a disfrutar y a él se le había olvidado el título de la canción y ella se lo ayudó a recordar. Y él estaba muy sudoroso muy fastidioso pero, disfrutó bastante. Y y se fueron para la casa y muerto del cansancio se quedó dormido. "," Texto neutro, par sujeto 003, cuente la historia en sus propias palabras, incluya tantos detalles como pueda. Alberto salió un fin de semana a disfrutar con sus amigos y de pronto vio que el letrero de la discoteca decía ni jefe ni reloj, así se llamaba la discoteca y estaban los muchachos alegres ahí, cuando de pronto vio unas mujeres muy contentas disfrutando y le conoció a su novia Elsa, entonces desde allá le preguntó que si iban a disfrutar y a él se le había olvidado el título de la canción y ella se lo ayudó a recordar y él estaba muy sudoroso, muy fastidioso pero disfrutó bastante y se fueron para la casa y muerto del cansancio se quedó dormido."
P004_GGN_NEUTRO_LIBRE,P004_GGN,"Que llegó el día sábado y estaba eufórico Alberto porque a cerquita de la casa había una taberna que se llamaba ni jefe ni reloj y a él le gustaba mucho ir allá. Allá se encontró con un amigo que se llama Mario, el cual estaba haciendo reír mucho a sus amigas con historias que les contaba, de pronto vio por allá sentada a su novia Elsa se le arrimó y le dijo que si le gustaba la música entonces se se pusieron a bailar y estuvieron ahí conversando; ya después él se fue para la casa y se durmió. No sé. "," Que llegó el día sábado y estaba eufórico Alberto porque cerquita de la casa había una taberna que se llamaba ni jefe ni reloj y a él le gustaba mucho ir allá. Allá se encontró con un amigo que se llama Mario, el cual estaba haciendo reír mucho a sus amigas con historias que les contaba. De pronto de obvio por allá sentada su novia Elsa se le arrimó y dijo que si le gustaba la música y ella dijo que sí. Entonces se pusieron a bailar y estuvieron ahí conversando. Ya después él se fue para la casa y se durmió."
P005_GLVH_NEUTRO_LIBRE,P005_GLVH,"Que llegó el fin de semana, era el día favorito para Alberto, acudió a la discoteca, se encontró con la novia Elsa, estuvieron bailando. Se había quedado dormido. No, no recuerdo nada. "," Llegó el fin de semana, era el día favorito para Alberto, acudió a la discoteca, se encontró con la novia Elsa, estuvieron bailando y se hubiera quedado dormido. No se acuerda más? Un poquito más, a ver, trate de recordar con más detalles. Así? Odio quedarme dormida. A ver si compruebas lo de la escritura."
P006_FAGP_NEUTRO_LIBRE,P006_FAGP,"Y estaba muy eufórico y había un había un letrero que decía: nada de reloj y nada de jefe. Y entró a un bar, estaba mucha gente y había un grupo de de alrededor de un personaje que se llamaba Mario; ese Mario imitaba mucho a la gente y muy muy payaso. En medio de una multitud estaba la novia de Alberto y salieron a bailar. Después Alerto llegó a la casa muy cansado. "," Estobal. Al Pacito. Subaru en el Sin deseach Eso no locos Awesomewash. machacado meditation of all side terrifying había un metrero que decía nada y hablando con de amamigos, hablando bastante, alrededor de un personaje que se llamaba Mario. Ese Mario imitaba a mucha gente y era como un payaso. En medio de la multitud estaba la Reina del Rey, estaba despertando, ha Hackensack que les"
P007_RAGP_NEUTRO_LIBRE,P007_RAGP,"Bueno, la noche apenas comenzaba, Alberto estaba muy contento porque había llegado la la parte más feliz de la semana que era el fin de semana Alberto se fue a la discoteca que se llamaba ni jefe ni reloj, y donde lo esperaban sus amigos; cuando entro a la discoteca sintió que lo encandilaban las luces y empezó a sentir calor. Había unas muchachas que estaban al lado de un joven que se llamaba Mario y estaban escuchando sus historias muy divertidas Alerto reconoció entre las muchachas a su novia, Elsa, y la invitó a bailar; luego escucharon el la canción favorita de Alberto, Elsa le ayudó a recordar la letra y finalmente Mario ya cansado se fue a la casa y se durmió. "," ¿Puede comenzar? Bueno, la noche apenas comenzaba. Alberto estaba muy contento porque había llegado la parte más feliz de la semana, que era el fin de semana. Alberto se fue a la discoteca que se llamaba Ni Jefe Ni Reloj y donde lo esperaban sus amigos. Cuando entró a la discoteca sintió que lo encandilaban las luces y empezó a sentir calor. Había unas muchachas que estaban al lado de un joven que se llamaba Mario y le estaban escuchando sus historias muy divertidas. Alberto reconoció entre las muchachas a su novia, Elsa, y la invitó a bailar. Luego escucharon la canción favorita de Alberto. Elsa le ayudó a recordar la letra y finalmente Mario, ya cansado, se fue a la casa y se durmió. Tranquila. ¿A mí ya me acabó el aván? Sí. Ay, qué rico. Ayer estaba leyendo un librito y encontré, me va a hacer un regalito. ¿Sí? Encontré las dos leyes de la armonía. Las dos leyes de la armonía son la primera, no te preocupes por las cosas pequeñas. Y la segunda es, todos son cosas pequeñas. Bueno, está chévere la enseñanza. No sé, mira, se me bloqueó esto. Quedó por la duda si quedó grande. ¿Qué hago?"
P010_EEPC_NEUTRO_LIBRE,P010_EEPC,"Ay bueno, que Alberto iba para una discoteca y tenía una novia que se llamaba Elsa y ¡ay no! la discoteca se llamaba sin… Ellos se pusieron a bailar, no. "," ¿Listo? Puedes comenzar. Cuéntame la historia con sus propias palabras, incluya tantos detalles como sea posible. Ay, bueno. Eh, que... Alberto iba para una discoteca y tenía una novia que se llamaba Elsa. Y... Ay, no. Tranquila, no. A ver. Lo que usted se acuerde. Eh, la discoteca se llamaba Sin... Si no se acuerda el nombre, tranquila, sí. Si no se acuerda el nombre, tranquila, sí. Ellos se pusieron a bailar. No, no. ¿Sí? Un esforcito más, a ver. ¿Sí? ¿OK?"
P011_CAAA_NEUTRO_LIBRE,P011_CAAA,"Me recuerdo que Alberto iba pasando por la calle y vio un aviso de una discoteca y se y se entró a divertirse pero de pronto se encontró a a a su amigo Mario. Y él iba con su con la novia que se llamaba Elsa y entraron a parrandear un un rato, a divertirse en la discoteca; y estuvieron distrayéndose mucho, un buen rato de la noche. Pasaron divirtiéndose en en dicha discoteca. Listo. "," Texto neutro CAAA Recuerdo Libre. Cuéntame que se acuerda usted del cuento. Me recuerdo que Alberto iba pasando por la calle y vio un aviso de una discoteca. Y se entró a divertirse. Pero de pronto se encontró a su amigo Mario. Y él iba con la novia que se llamaba Elsa. Y entraron a parrandear un rato, a divertirse. En la discoteca. Y estuvieron distrayéndole mucho. Un buen rato de la noche. Pasaron divirtiéndole en dicha discoteca. Listo. Muy bien."
P012_CAMM_NEUTRO_LIBRE,P012_CAMM,"Se trataba de tres personas, Alberto, Mario y Elsa. Alberto en un fin de semana estaba eufórico y con ganas de disfrutar, se encaminó hacia una discoteca donde su nombre o razón social era ni jefe, ni ni jefe ni no me acuerdo cual era la otra palabra; lo cierto del caso es que entró a la discoteca y encontró que allí se encontraba Mario, su amigo, estaban muy contentos de estar en el lugar; Mario departía con un grupo de muchachas que se encontraban en un rincón, las muchachas se entretenía con él porque él les hacía la vida  como amable, era muy dicharachero. Alberto entró y en un rincón vio a su novia Elsa, se dirigió hacia ella, la saludó y se decidió a compartir; de momento escuchó una música y le dijo a Elsa que si bailaba, Elsa pues aceptó y se fueron a la pista. Posteriormente ya Elsa cuando estaba entrada la noche dejó olvidada su cartera en un en la en la silla, pero ya Alberto escuchó una canción que le gustaba mucho y le y se devolvió a escucharla, le dijo a su novia que si le gustaba y ella dijo que sí, que mucho; de allí salieron y se fueron a su casa, cuando Alberto llegó a su casa todo sudoroso se tiró a la cama y como tenía mucho sueño, se durmió. "," ¿Puedo comenzar? Se trataba de tres personas, Alberto, Mario y Elsa. Alberto en un fin de semana estaba eufórico y con ganas de disfrutar. Se encaminó hacia alguna discoteca donde su nombre o razón social era ni jefe ni, no me acuerdo cuál es la otra palabra. Lo cierto del caso es que entró a la discoteca y encontró que allí se encontraba Mario, su amigo. Estaban muy contentos de estar en el lugar. Mario departía con un grupo de muchachas que se encontraban en un rincón. Las muchachas se entretenían con él porque él les hacía la vida como amable, era muy dicharachero. Alberto entró y en un rincón vio a su novia Elsa, se dirigió hacia ella, la saludó y se decidió a compartir. De momento escuchó una música y le dijo a Elsa que si bailaba. Elsa pues aceptó y se fueron a la pista. Posteriormente ya Elsa cuando estaba entrada la noche dejó olvidada su cartera en la silla, pero ya Alberto escuchó una canción que le gustaba mucho y se volvió a escucharla. Le dijo a su novia que si le gustaba y ella dijo que sí, que mucho. De allí salieron y se fueron a su casa. Cuando Alberto llegó a su casa todo sudadroso se tiró a la cama y como tenía mucho sueño se durmió."
