1.434110	4.571225	p
5.557176	9.232083	p
9.949137	11.652143	p
14.072203	17.119687	p
17.836742	21.422017	p
22.049440	24.469500	p
24.828028	26.979193	p
28.771830	31.729682	p
34.239374	35.763116	p
37.286858	40.692869	p
42.485506	45.443358	p
46.608572	48.759737	p
49.297528	51.269429	e
51.269429	52.165748	p
54.406545	57.454028	p
58.708874	62.473413	p
63.817891	64.893473	p
66.148320	67.940957	p
69.643962	73.318869	p
74.573715	76.814512	p
78.338254	81.116842	p
81.833897	83.626534	p
83.626534	85.598435	p
86.763649	87.928864	p
89.811133	93.217144	p
93.754935	99.939534	p
102.001067	103.345545	e
102.897386	105.944869	p
