0.000000	1.875582	p
2.359603	5.868756	e
6.352777	7.320820	p
7.320820	8.893888	e
8.893888	12.100528	p
12.403041	14.157618	e
14.157618	15.065158	p
15.065158	16.698729	e
17.666771	18.574311	p
18.574311	20.510395	e
21.357432	22.204469	p
22.204469	23.656533	e
24.080051	25.411109	p
25.411109	26.500157	e
26.500157	27.589204	p
27.589204	29.222776	e
29.706797	33.397458	p
33.397458	34.547008	e
34.547008	35.515050	p
35.515050	36.604098	e
36.604098	37.753648	p
37.753648	38.721690	e
38.721690	39.750235	p
39.750235	40.657775	e
41.202298	42.412351	p
42.412351	44.287933	e
50.761716	53.484335	p
53.484335	54.815393	e
55.238911	56.206953	e
55.904440	57.053990	p
57.053990	58.022033	e
58.022033	59.534599	p
59.534599	60.139625	e
