0.438055	1.661589	p
1.661589	2.522595	e
3.428916	4.561818	p
5.030084	8.277736	p
8.338157	9.199162	e
9.199162	11.495177	p
11.736862	13.020818	e
13.020818	13.791191	p
14.244352	15.407464	p
16.630998	18.277482	p
19.214014	20.543286	p
21.328764	22.506982	p
23.821148	25.256157	p
27.657909	29.395025	p
32.310359	34.485530	p
35.709064	36.509648	p
37.098757	38.352502	e
38.941611	40.240671	p
42.219473	43.080479	p
43.881062	44.938437	e
45.663495	46.735975	p
49.726836	50.935264	p
52.823434	54.515234	p
54.772025	55.799189	e
56.916986	57.823307	p
60.149532	60.766562	p
