3.278233	4.657213	p
6.859132	9.817266	p
11.351937	12.819883	p
13.331440	14.376795	e
14.376795	16.867855	p
19.817272	20.451158	p
22.530748	23.131271	p
24.321197	24.963679	p
26.556479	27.257090	p
27.968821	28.592040	p
30.459881	31.958559	p
33.340169	33.987823	p
35.775625	36.409511	p
38.311168	39.067383	p
41.102490	42.034740	p
44.101409	44.587684	p
45.759591	46.470300	p
49.029519	49.410903	p
57.419975	58.210267	p
58.454038	59.083126	p
61.041161	61.662385	p
62.024111	62.531312	e
