0.000000	4.636494	p
6.038225	7.871258	p
8.259429	10.653154	p
10.999367	13.089463	p
13.245827	14.002365	p
14.130592	14.976889	p
15.425683	16.079639	p
17.502957	18.297963	p
19.772571	20.529109	p
21.721618	22.510213	p
24.305388	25.722294	p
27.511058	29.395992	p
29.825551	32.216981	p
36.050962	36.730564	p
38.237229	38.980944	p
39.346390	40.167042	p
41.146191	43.184092	p
43.669306	44.467215	p
45.849855	46.701676	p
47.809804	48.607712	p
49.146839	49.793792	p
50.753438	51.572912	p
52.521776	53.610813	p
54.182287	56.047668	p
