0.632326	2.149910	p
2.560922	4.078505	p
4.457901	5.754170	p
6.671043	8.947418	p
9.504655	11.796839	p
12.030009	13.334182	e
13.476455	15.254873	p
15.373434	16.148034	e
16.148034	17.262509	p
17.863219	18.961887	p
19.870856	21.657178	p
22.558243	24.336661	p
24.391989	26.368009	p
26.403577	27.842120	p
27.929065	28.822226	e
28.822226	33.600242	p
33.948021	36.082123	p
36.619600	37.512761	p
40.156675	41.690067	p
42.575324	44.108715	p
47.803872	49.163374	p
50.649341	51.977226	p
52.704402	54.822695	p
55.391789	58.142408	p
58.379531	60.766562	e
